2017-03-29 03:17:57,693 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-03-29 03:18:47,208 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: de.fau.rehau.project:industrie.demo:0.0.1-SNAPSHOT @ D:\WebProjects\complete rehau\kommunikationskonzept\fau-rehau-service-war\industrie.demo\pom.xml.
2017-03-29 03:18:53,544 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /industrie.demo/src/main/java
2017-03-29 03:18:53,546 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /industrie.demo/src/main/resources
2017-03-29 03:18:53,547 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /industrie.demo/src/test/java
2017-03-29 03:18:55,929 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 17 sec
2017-03-29 03:18:58,960 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-29 03:18:58,983 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-29 03:18:58,986 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-29 03:18:58,987 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\WebProjects\complete rehau\kommunikationskonzept\fau-rehau-service-war\industrie.demo\src\test\resources
2017-03-29 03:19:14,155 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-29 03:19:14,160 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-29 03:19:14,161 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-29 03:19:14,162 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\WebProjects\complete rehau\kommunikationskonzept\fau-rehau-service-war\industrie.demo\src\test\resources
2017-03-29 03:19:26,073 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\WebProjects\complete rehau\kommunikationskonzept\fau-rehau-service-war\industrie.demo
2017-03-29 03:19:26,074 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-03-29 03:19:28,129 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
